subj,prop,bucket,subject_num_chunks,step,exposures,gold_logprob,max_decoy_logprob,correct
The System,director,low,2,10000,0,-6.523708343505859,-6.650995254516602,True
The System,director,low,2,20000,1,-6.441699504852295,-8.028778076171875,True
The System,director,low,2,30000,1,-5.632811069488525,-7.924293518066406,True
The System,director,low,2,40000,1,-6.79676628112793,-8.772231101989746,True
The System,director,low,2,50000,1,-6.5023274421691895,-7.943058490753174,True
The System,director,low,2,60000,1,-6.133531093597412,-7.599429130554199,True
The System,director,low,2,70000,1,-6.285228252410889,-7.632637023925781,True
The System,director,low,2,80000,1,-5.545176029205322,-8.476887702941895,True
The System,director,low,2,90000,2,-6.471100330352783,-8.285411834716797,True
The System,director,low,2,100000,2,-5.50942850112915,-7.869717597961426,True
The System,director,low,2,109672,2,-5.92993688583374,-7.885822772979736,True
Bread and Circuses,director,low,1,0,0,-12.12078857421875,-11.935846328735352,False
Bread and Circuses,director,low,1,10000,0,-7.306842803955078,-8.811464309692383,True
Bread and Circuses,director,low,1,20000,0,-6.7917680740356445,-7.9343438148498535,True
Bread and Circuses,director,low,1,30000,0,-7.898321151733398,-7.940458297729492,True
Bread and Circuses,director,low,1,40000,0,-6.520737171173096,-7.8273491859436035,True
Bread and Circuses,director,low,1,50000,0,-6.5856122970581055,-7.302548885345459,True
Bread and Circuses,director,low,1,60000,0,-6.407759666442871,-7.396738529205322,True
Bread and Circuses,director,low,1,70000,1,-5.911118507385254,-7.107687473297119,True
Bread and Circuses,director,low,1,80000,1,-5.647590160369873,-7.195095062255859,True
Bread and Circuses,director,low,1,90000,1,-6.265807628631592,-5.6294474601745605,False
Bread and Circuses,director,low,1,100000,1,-6.612194538116455,-6.756013870239258,True
Bread and Circuses,director,low,1,109672,1,-6.185200214385986,-5.5487961769104,False
If I Ever,genre,low,1,0,0,-11.967628479003906,-11.596454620361328,False
If I Ever,genre,low,1,10000,0,-6.805426120758057,-6.303924560546875,False
If I Ever,genre,low,1,20000,1,-8.118291854858398,-5.699594974517822,False
If I Ever,genre,low,1,30000,1,-7.401303291320801,-4.74170446395874,False
If I Ever,genre,low,1,40000,1,-5.823947429656982,-5.889750957489014,True
If I Ever,genre,low,1,50000,1,-7.075508117675781,-5.011769771575928,False
If I Ever,genre,low,1,60000,1,-6.169458866119385,-4.559401512145996,False
If I Ever,genre,low,1,70000,1,-5.663800239562988,-4.410686016082764,False
If I Ever,genre,low,1,80000,1,-4.700985908508301,-4.189229965209961,False
If I Ever,genre,low,1,90000,1,-5.184384346008301,-3.9978926181793213,False
If I Ever,genre,low,1,100000,1,-5.169630527496338,-4.044604301452637,False
